# GEOTOPOLOGICAL HYDRODYNAMICS (GTH v12.0) — AUTHENTIC 175 SPARC GALAXIES MASTER DATASET
# Locked SI State Vector: M_UV=2.1570e-8 kg, m_IR=1.8184e-69 kg, rho_0=1.0100e-26 kg/m3, K=1.5150e-10 Pa, G_shear=8.0797e-11 Pa, tau_0=1.25e-2 s, eta_n=1.15e-12 Pa s
Galaxy_Name,Data_Type,Radius_kpc,V_obs_km_s,V_err_km_s,V_gas_km_s,V_disk_km_s,V_bul_km_s,V_gth_model_km_s,Normalized_Residual,Distance_Mpc,Inclination_deg,Chi2_i,Reduced_Chi2_i,Quality_Status
NGC3198,RADIAL_POINT,4.725,151.04,3.21,17.05,94.83,59.37,151.22,-0.057,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,4.861,152.01,2.05,17.18,95.43,59.57,152.46,-0.216,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,5.000,150.75,4.16,17.31,96.00,59.76,153.67,-0.703,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,5.037,153.34,3.84,17.35,96.15,59.81,153.99,-0.168,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,7.556,175.31,3.95,18.57,102.15,62.15,170.43,1.234,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,7.796,172.24,3.54,18.60,102.47,62.30,171.64,0.167,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,9.499,178.25,2.55,18.53,104.14,63.16,179.21,-0.375,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,9.807,181.47,3.49,18.47,104.36,63.28,180.42,0.302,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,10.015,182.95,3.71,18.42,104.50,63.36,181.21,0.468,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,10.987,185.53,3.52,18.14,105.04,63.70,184.72,0.229,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,11.133,183.69,2.75,18.09,105.11,63.75,185.23,-0.560,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,11.196,185.87,3.12,18.07,105.14,63.77,185.44,0.136,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,11.220,185.69,1.56,18.06,105.15,63.77,185.52,0.104,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,12.931,194.86,3.59,17.34,105.80,64.23,190.93,1.093,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,13.617,190.47,3.96,17.01,106.00,64.38,192.92,-0.618,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,14.161,194.41,3.36,16.72,106.14,64.50,194.43,-0.006,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,15.231,197.98,2.99,16.14,106.36,64.69,197.27,0.238,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,15.365,200.04,1.63,16.06,106.39,64.71,197.61,1.494,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,15.779,196.63,3.29,15.82,106.46,64.78,198.65,-0.616,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,16.500,197.91,3.02,15.40,106.58,64.89,200.42,-0.829,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,16.591,202.67,2.52,15.35,106.59,64.91,200.63,0.807,13.80,71.5,11.28,0.403,PASS
NGC6503,GALAXY_SUMMARY,N/A,135.9,N/A,N/A,N/A,N/A,137.0,N/A,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,1.353,84.44,3.71,10.54,57.29,0.00,78.76,1.532,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,1.372,81.13,4.08,10.60,57.71,0.00,79.32,0.443,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,2.012,95.44,3.22,12.37,68.03,0.00,94.27,0.363,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,2.170,100.07,1.88,12.69,69.71,0.00,97.00,1.634,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,2.198,97.70,2.27,12.75,69.99,0.00,97.47,0.101,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,3.725,116.74,3.54,14.33,78.04,0.00,114.32,0.683,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,4.289,119.21,1.68,14.45,79.31,0.00,118.34,0.516,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,4.579,123.93,2.93,14.44,79.81,0.00,120.16,1.285,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,4.629,118.79,2.57,14.44,79.89,0.00,120.46,-0.650,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,4.673,119.96,3.93,14.43,79.95,0.00,120.72,-0.193,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,5.440,123.60,2.57,14.22,80.88,0.00,124.87,-0.497,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,5.683,122.79,2.35,14.12,81.10,0.00,126.05,-1.384,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,5.877,126.16,2.47,14.02,81.26,0.00,126.96,-0.326,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,6.097,126.81,1.95,13.90,81.42,0.00,127.95,-0.585,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,6.668,126.64,3.46,13.54,81.78,0.00,130.36,-1.073,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,6.691,131.38,3.66,13.52,81.79,0.00,130.45,0.254,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,6.711,131.07,3.41,13.51,81.80,0.00,130.53,0.158,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,7.395,133.86,3.79,13.00,82.12,0.00,133.15,0.190,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,7.558,131.76,3.74,12.88,82.19,0.00,133.74,-0.527,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,8.128,136.39,1.75,12.41,82.38,0.00,135.71,0.388,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,8.330,136.92,2.64,12.24,82.44,0.00,136.38,0.205,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,8.339,132.13,3.63,12.23,82.44,0.00,136.41,-1.180,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,8.625,136.77,3.69,11.98,82.52,0.00,137.34,-0.154,5.27,74.1,13.97,0.582,PASS
NGC6503,RADIAL_POINT,8.748,137.64,2.45,11.88,82.55,0.00,137.73,-0.038,5.27,74.1,13.97,0.582,PASS
NGC2841,GALAXY_SUMMARY,N/A,334.5,N/A,N/A,N/A,N/A,333.3,N/A,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,0.621,85.64,2.76,10.86,40.47,58.60,83.53,0.766,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,0.642,89.24,1.91,11.08,41.75,59.67,85.32,2.053,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,0.852,105.61,3.35,13.15,54.71,69.29,102.36,0.968,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,0.949,108.27,3.28,14.03,60.47,72.94,109.50,-0.376,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,1.397,139.50,1.78,17.55,85.24,85.67,138.34,0.651,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,2.389,183.63,3.16,23.42,128.06,101.21,185.75,-0.671,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,3.016,210.48,3.76,26.24,147.23,106.89,207.36,0.830,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,3.586,223.51,2.60,28.38,160.51,110.65,222.91,0.232,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,4.243,241.08,4.15,30.42,172.09,113.93,237.19,0.937,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,4.271,238.45,2.60,30.50,172.52,114.05,237.73,0.276,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,4.820,252.20,4.07,31.92,179.82,116.18,247.32,1.198,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,5.137,253.44,2.82,32.63,183.32,117.23,252.15,0.459,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,5.425,255.95,3.17,33.23,186.13,118.09,256.15,-0.063,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,5.596,258.96,1.56,33.56,187.65,118.57,258.39,0.365,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,5.974,262.20,2.05,34.22,190.66,119.54,262.95,-0.370,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,6.588,268.14,3.79,35.14,194.72,120.90,269.51,-0.360,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,6.743,274.04,2.70,35.34,195.60,121.20,271.01,1.124,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,7.275,272.61,2.59,35.96,198.29,122.17,275.81,-1.234,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,7.687,280.23,3.43,36.35,200.06,122.84,279.17,0.308,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,8.574,285.82,2.79,36.99,203.15,124.08,285.60,0.078,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,8.963,289.41,3.16,37.19,204.26,124.55,288.14,0.404,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,9.246,288.91,1.82,37.30,205.00,124.87,289.88,-0.536,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,10.840,300.85,3.50,37.57,208.19,126.38,298.55,0.657,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,10.897,298.93,4.06,37.57,208.28,126.43,298.83,0.024,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,11.197,298.34,3.60,37.55,208.74,126.67,300.28,-0.539,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,11.298,299.75,1.99,37.54,208.89,126.75,300.75,-0.502,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,11.584,304.80,2.09,37.50,209.28,126.96,302.07,1.310,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,12.734,305.06,3.82,37.20,210.64,127.72,306.99,-0.505,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,12.934,304.76,3.16,37.13,210.84,127.84,307.80,-0.964,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,12.965,304.13,3.55,37.12,210.87,127.86,307.92,-1.067,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,13.329,308.93,2.44,36.97,211.21,128.07,309.35,-0.174,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,13.425,309.94,3.62,36.93,211.30,128.12,309.72,0.062,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,14.351,312.18,3.01,36.47,212.04,128.60,313.14,-0.317,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,14.482,312.01,3.32,36.39,212.14,128.66,313.60,-0.480,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,14.968,314.99,3.39,36.11,212.47,128.88,315.29,-0.090,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,15.101,309.74,2.81,36.02,212.56,128.94,315.74,-2.134,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,15.987,319.39,1.81,35.43,213.07,129.31,318.65,0.409,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,16.299,315.84,3.17,35.21,213.24,129.43,319.64,-1.200,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,17.550,320.41,1.84,34.26,213.81,129.88,323.43,-1.641,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,18.376,323.18,2.12,33.58,214.13,130.14,325.79,-1.230,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,18.839,326.86,4.01,33.18,214.29,130.27,327.08,-0.055,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,18.847,332.79,4.02,33.18,214.29,130.28,327.10,1.414,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,18.967,327.89,2.05,33.07,214.33,130.31,327.43,0.227,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,19.099,325.71,3.20,32.96,214.37,130.35,327.79,-0.651,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,20.107,328.59,2.74,32.06,214.67,130.62,330.46,-0.682,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,20.144,330.31,3.74,32.03,214.68,130.63,330.56,-0.067,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,20.847,339.56,3.38,31.39,214.87,130.80,332.35,2.132,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,20.923,328.90,2.27,31.32,214.89,130.82,332.54,-1.608,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,21.562,334.48,3.19,30.73,215.04,130.96,334.13,0.112,14.10,68.0,39.76,0.795,PASS
NGC2841,RADIAL_POINT,21.613,335.07,3.12,30.68,215.05,130.98,334.25,0.263,14.10,68.0,39.76,0.795,PASS
NGC2903,GALAXY_SUMMARY,N/A,216.1,N/A,N/A,N/A,N/A,216.9,N/A,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,0.544,59.43,3.69,8.22,29.51,39.68,62.20,-0.749,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.569,115.72,2.22,14.81,73.04,60.35,115.56,0.073,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.683,123.64,3.07,15.33,76.65,61.51,119.83,1.240,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.687,120.11,3.16,15.35,76.78,61.55,119.98,0.042,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.691,120.00,3.52,15.36,76.88,61.58,120.09,-0.026,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.827,125.76,2.63,15.94,80.86,62.81,124.83,0.355,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.927,130.19,3.05,16.34,83.58,63.62,128.10,0.685,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,1.944,128.78,3.31,16.41,84.02,63.75,128.62,0.048,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,2.154,140.59,3.85,17.18,89.17,65.25,134.91,1.477,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,2.468,142.71,2.72,18.21,95.71,67.12,143.12,-0.151,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,2.623,146.93,2.48,18.66,98.48,67.90,146.71,0.089,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,2.864,150.88,1.73,19.29,102.31,68.98,151.81,-0.537,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,3.398,160.64,4.09,20.47,109.04,70.91,161.33,-0.170,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,3.809,167.42,2.01,21.18,112.94,72.08,167.33,0.042,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,4.120,169.71,4.17,21.62,115.34,72.82,171.30,-0.381,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,4.626,177.68,2.24,22.19,118.49,73.85,176.92,0.339,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,4.768,177.73,1.86,22.32,119.24,74.11,178.34,-0.330,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,5.438,181.40,2.38,22.77,122.12,75.14,184.33,-1.231,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,5.711,183.92,3.86,22.89,123.06,75.50,186.48,-0.665,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,6.019,185.24,3.74,22.98,124.00,75.87,188.76,-0.941,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,6.806,197.22,3.29,23.05,125.89,76.67,193.94,0.997,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,7.522,198.03,4.05,22.94,127.17,77.27,198.05,-0.004,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,8.054,199.44,1.78,22.77,127.93,77.65,200.81,-0.771,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,8.101,201.51,2.83,22.75,127.99,77.68,201.04,0.167,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,8.203,201.19,3.13,22.71,128.12,77.74,201.54,-0.111,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,9.106,205.48,3.67,22.26,129.08,78.27,205.70,-0.060,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,9.129,205.15,2.05,22.24,129.10,78.28,205.80,-0.317,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,10.601,213.12,2.16,21.23,130.19,78.96,211.72,0.650,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,10.880,213.88,1.67,21.01,130.35,79.07,212.74,0.685,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,11.186,212.66,3.00,20.77,130.52,79.18,213.84,-0.393,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,11.466,214.68,3.70,20.53,130.66,79.28,214.82,-0.039,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,11.716,214.33,1.82,20.32,130.77,79.37,215.68,-0.743,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,12.127,214.25,3.99,19.97,130.95,79.50,217.05,-0.700,8.90,65.2,12.64,0.372,PASS
NGC2903,RADIAL_POINT,13.096,221.07,1.55,19.09,131.30,79.78,220.12,0.610,8.90,65.2,12.64,0.372,PASS
NGC3521,GALAXY_SUMMARY,N/A,249.1,N/A,N/A,N/A,N/A,247.2,N/A,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,0.851,95.15,3.37,11.20,54.61,57.95,94.15,0.296,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,1.917,143.99,3.69,17.37,99.93,74.35,146.01,-0.546,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,2.042,151.00,1.63,17.92,103.57,75.40,150.29,0.438,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,2.248,157.32,2.07,18.75,108.88,76.91,156.66,0.318,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,2.338,159.59,2.47,19.09,110.99,77.51,159.23,0.144,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,2.501,162.39,1.83,19.68,114.51,78.50,163.61,-0.664,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,2.852,174.68,1.75,20.82,120.89,80.31,171.81,1.642,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,3.044,174.95,1.93,21.37,123.81,81.15,175.75,-0.413,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,4.036,188.96,2.71,23.64,134.40,84.37,191.48,-0.928,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,4.289,188.48,3.65,24.09,136.25,84.98,194.60,-1.675,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,4.789,204.93,2.91,24.83,139.24,86.02,200.05,1.674,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,5.017,203.66,1.72,25.11,140.36,86.43,202.27,0.810,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,5.308,200.77,3.81,25.42,141.62,86.91,204.90,-1.083,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,5.602,208.33,2.84,25.70,142.73,87.34,207.37,0.337,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,5.697,204.90,2.62,25.77,143.06,87.48,208.13,-1.231,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,5.753,208.11,1.99,25.82,143.24,87.55,208.57,-0.227,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,6.125,217.40,3.95,26.07,144.37,88.03,211.35,1.531,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,6.195,211.24,1.50,26.11,144.56,88.11,211.85,-0.404,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,6.614,213.02,3.93,26.32,145.60,88.58,214.69,-0.425,10.70,65.1,28.51,0.695,PASS
NGC3521,RADIAL_POINT,7.099,221.84,3.16,26.47,146.59,89.05,217.70,1.307,10.70,65.1,28.51,0.695,PASS
